StandardNGADSV620v1Family	Standard NGADSV620v1 Family vCPUs	0	0
standardNPSFamily	Standard NPS Family vCPUs	0	0
StandardNVADSA10v5Family	Standard NVADSA10v5 Family vCPUs	0	0
standardNVFamily	Standard NV Family vCPUs	0	12
StandardNVadsV710v5Family	Standard NVadsV710v5 Family vCPUs	0	0
standardNVSv2Family	Standard NVSv2 Family vCPUs	0	0
standardNVSv3Family	Standard NVSv3 Family vCPUs	0	0
standardNVPromoFamily	Standard NV Promo Family vCPUs	0	12
standardNVSv4Family	Standard NVSv4 Family vCPUs	0	8
standardPBSFamily	Standard PBS Family vCPUs	0	6
